2004-01-01,0.102
2004-02-01,0.1
2004-03-01,0.101
2004-04-01,0.157
2004-05-01,0.2885
2004-06-01,0.248
2004-07-01,0.259
2004-08-01,0.444
2004-09-01,0.7695
2004-10-01,0.406
2004-11-01,0.3585
2004-12-01,0.237
2005-01-01,0.2745
2005-02-01,0.815
2005-03-01,1.0185
2005-04-01,1.44
2005-05-01,1.1885
2005-06-01,1.5265
2005-07-01,1.4525
2005-08-01,2.0535
2005-09-01,2.0395
2005-10-01,2.4015
2005-11-01,1.9435
2005-12-01,1.807
2006-01-01,2.579
2006-02-01,2.126
2006-03-01,2.0105
2006-04-01,3.0335
2006-05-01,2.5815
2006-06-01,2.01
2006-07-01,3.208
2006-08-01,3.27
2006-09-01,2.6535
2006-10-01,2.7465
2006-11-01,2.801
2006-12-01,2.7195
2007-01-01,2.8295
2007-02-01,2.6345
2007-03-01,2.75
2007-04-01,2.993
2007-05-01,3.368
2007-06-01,2.877
2007-07-01,4.3345
2007-08-01,3.536
2007-09-01,3.0945
2007-10-01,3.5945
2007-11-01,3.208
2007-12-01,2.455
2008-01-01,3.1465
2008-02-01,2.8625
2008-03-01,2.9795
2008-04-01,3.418
2008-05-01,3.7705
2008-06-01,3.639
2008-07-01,3.5845
2008-08-01,2.6595
2008-09-01,3.321
2008-10-01,5.348
2008-11-01,3.397
2008-12-01,3.012
2009-01-01,2.7065
2009-02-01,2.577
2009-03-01,3.3195
2009-04-01,2.7635
2009-05-01,2.561
2009-06-01,2.5045
2009-07-01,2.4845
2009-08-01,2.108
2009-09-01,1.822
2009-10-01,2.1505
2009-11-01,1.758
2009-12-01,1.9335
2010-01-01,1.83
2010-02-01,1.72
2010-03-01,1.7885
2010-04-01,2.069
2010-05-01,2.1135
2010-06-01,2.1625
2010-07-01,2.163
2010-08-01,1.9805
2010-09-01,1.6945
2010-10-01,1.896
2010-11-01,2.017
2010-12-01,2.089
2011-01-01,2.445
2011-02-01,3.5225
2011-03-01,3.5195
2011-04-01,3.1965
2011-05-01,2.4645
2011-06-01,2.208
2011-07-01,2.236
2011-08-01,3.6285
2011-09-01,2.238
2011-10-01,2.605
2011-11-01,2.604
2011-12-01,2.403
2012-01-01,2.432
2012-02-01,2.4675
2012-03-01,2.3865
2012-04-01,2.2175
2012-05-01,2.0465
2012-06-01,2.18
2012-07-01,2.024
2012-08-01,2.1595
2012-09-01,2.0975
2012-10-01,2.3395
2012-11-01,2.2635
2012-12-01,1.959
2013-01-01,2.2115
2013-02-01,2.0815
2013-03-01,2.1775
2013-04-01,2.357
2013-05-01,2.5415
2013-06-01,1.961
2013-07-01,2.2685
2013-08-01,2.2305
2013-09-01,1.9445
2013-10-01,2.123
2013-11-01,2.214
2013-12-01,2.183
2014-01-01,2.497
2014-02-01,2.845
2014-03-01,2.3745
2014-04-01,2.616
2014-05-01,2.6105
2014-06-01,2.6935
2014-07-01,2.494
2014-08-01,2.363
2014-09-01,2.1615
2014-10-01,3.085
2014-11-01,2.621
2014-12-01,4.9025
2015-01-01,4.6625
2015-02-01,4.3655
